gender,age,region,tenure_months,contract_type,internet_service,monthly_gb_download,streaming_package,tech_support_calls,payment_method,monthly_charges,late_payments,account_manager,credit_score,churn_label,credit_score_missing,days_since_last_login
male,63,South,2,One year,Fiber optic,2.9444389791664403,Yes,0.0,Mailed check,96.01,1,False,440.0,1,0,38.0
female,32,East,39,Month-to-month,No,0.0,No,2.0,Credit card,74.78,0,False,677.0,0,0,308.0
male,42,South,5,One year,Fiber optic,4.04305126783455,No,0.0,Mailed check,72.74,1,False,565.5,1,1,353.0
male,34,East,42,One year,No,0.0,Yes,1.0,Electronic check,66.59,1,False,637.0,0,0,225.0
male,26,North,9,Month-to-month,DSL,2.70805020110221,Yes,0.0,Credit card,26.58,1,True,749.0,0,0,240.0
female,55,East,26,One year,No,0.0,Yes,1.0,Electronic check,128.14,0,False,460.0,0,0,251.0
male,65,North,8,Two year,Fiber optic,3.6888794541139363,Yes,2.0,unknown,41.75,0,True,404.0,0,0,294.0
male,77,South,48,Month-to-month,DSL,2.3978952727983707,No,0.0,Mailed check,29.2,0,True,391.0,0,0,313.0
male,80,South,3,Month-to-month,Fiber optic,2.70805020110221,No,0.0,Bank transfer,63.61,2,False,784.0,0,0,19.0
female,19,North,4,Month-to-month,DSL,3.58351893845611,Yes,0.0,Electronic check,41.16,0,False,718.0,0,0,86.0
male,28,West,14,One year,Fiber optic,3.4011973816621555,No,0.0,Credit card,68.45,0,False,720.0,0,0,321.0
male,81,South,2,Month-to-month,Fiber optic,3.7376696182833684,No,1.0,Bank transfer,90.63,1,True,353.0,0,0,63.0
male,38,West,5,One year,DSL,1.791759469228055,No,1.0,Electronic check,99.86,0,True,813.0,0,0,149.0
male,35,West,58,Two year,Fiber optic,4.248495242049359,Yes,2.0,Electronic check,94.44,1,False,396.0,0,0,349.0
female,81,East,76,Month-to-month,Fiber optic,3.970291913552122,No,3.0,Bank transfer,60.83,0,False,565.5,0,1,350.0
male,55,North,10,Two year,DSL,2.4849066497880004,No,2.0,Mailed check,71.49,0,False,732.0,0,0,318.0
female,49,South,52,Two year,DSL,2.833213344056216,No,1.0,Bank transfer,82.24,1,True,770.0,0,0,254.0
female,28,West,16,Month-to-month,Fiber optic,4.430816798843313,Yes,0.0,Mailed check,20.0,1,False,565.5,0,1,246.0
female,62,South,7,Month-to-month,Fiber optic,3.8918202981106265,No,1.0,Credit card,87.12,0,True,633.0,0,0,107.0
male,50,North,25,Two year,No,0.0,No,0.0,Mailed check,26.28,1,False,563.0,0,0,57.0
female,58,East,22,Two year,No,0.0,No,1.0,Credit card,131.21,0,False,490.0,0,0,352.0
male,25,West,91,Month-to-month,Fiber optic,3.8501476017100584,No,0.0,Credit card,57.86,0,True,520.0,0,0,78.0
female,28,West,7,Month-to-month,Fiber optic,3.4657359027997265,No,0.0,Credit card,64.45,0,True,498.0,1,0,264.0
female,68,North,23,Month-to-month,Fiber optic,2.5649493574615367,No,0.0,Credit card,46.91,1,False,643.0,0,0,33.0
female,58,East,2,Two year,Fiber optic,3.8501476017100584,No,0.0,Electronic check,51.1,1,False,473.0,0,0,6.0
female,34,South,3,Month-to-month,DSL,3.1780538303479458,Yes,0.0,Credit card,138.22,1,False,516.0,1,0,86.0
female,63,South,1,One year,DSL,3.4339872044851463,Yes,0.0,Electronic check,98.21,1,False,505.0,0,0,151.0
female,49,West,120,Two year,Fiber optic,1.791759469228055,Yes,2.0,Electronic check,23.52,0,False,672.0,0,0,253.0
female,71,South,33,Month-to-month,DSL,2.1972245773362196,Yes,2.0,Credit card,115.13,0,False,473.0,0,0,136.0
female,37,South,31,One year,Fiber optic,3.6635616461296463,Yes,0.0,Mailed check,105.8,1,False,377.0,0,0,64.0
male,50,North,15,Month-to-month,No,0.0,Yes,0.0,Mailed check,61.56,0,False,622.0,0,0,223.0
male,57,West,8,Two year,DSL,2.995732273553991,No,0.0,Bank transfer,79.2,1,False,683.0,0,0,362.0
female,49,West,4,Month-to-month,Fiber optic,3.8712010109078907,Yes,2.0,Electronic check,69.55,0,False,736.0,0,0,284.0
male,19,East,7,One year,No,0.0,Yes,0.0,Electronic check,129.18,0,True,498.0,1,0,8.0
female,50,West,10,One year,Fiber optic,3.8712010109078907,Yes,1.0,Mailed check,46.11,0,False,306.0,0,0,149.0
male,47,North,29,Month-to-month,DSL,3.2188758248682006,Yes,1.0,Electronic check,74.38,1,False,562.0,0,0,191.0
female,50,South,16,Month-to-month,DSL,2.3978952727983707,No,0.0,Mailed check,57.16,0,False,565.5,0,1,223.0
male,43,South,2,Month-to-month,Fiber optic,4.23410650459726,No,0.0,Bank transfer,27.01,2,False,319.0,0,0,286.0
male,39,North,1,Month-to-month,Fiber optic,4.07753744390572,No,0.0,Credit card,135.75,0,False,553.0,1,0,255.0
male,83,South,3,Two year,DSL,2.833213344056216,No,0.0,Credit card,34.55,0,False,479.0,0,0,193.0
male,55,West,11,Two year,DSL,3.6109179126442243,Yes,1.0,Credit card,76.6,2,False,652.0,0,0,313.0
male,63,North,55,Month-to-month,No,0.0,No,1.0,unknown,20.0,0,True,514.0,0,0,318.0
female,32,South,21,One year,Fiber optic,4.406719247264253,Yes,0.0,Electronic check,58.03,0,True,657.0,0,0,171.0
female,61,South,33,One year,No,0.0,No,2.0,Bank transfer,82.66,0,False,565.5,0,1,316.0
female,66,South,13,Two year,Fiber optic,4.23410650459726,Yes,0.0,Electronic check,45.26,0,True,636.0,0,0,182.0
female,78,West,9,Month-to-month,No,0.0,Yes,1.0,Electronic check,87.6,0,True,618.0,0,0,189.0
female,84,South,3,Month-to-month,DSL,2.3978952727983707,No,0.0,Credit card,61.93,1,True,765.0,0,0,56.0
male,23,South,42,Month-to-month,Fiber optic,4.406719247264253,No,1.0,unknown,104.8,0,False,453.0,0,0,230.0
female,26,West,31,One year,DSL,3.332204510175204,No,0.0,Mailed check,110.85,1,False,650.0,0,0,343.0
female,23,North,4,Month-to-month,Fiber optic,4.51085950651685,No,1.0,Credit card,52.4,1,False,361.0,0,0,130.0
male,49,South,15,Month-to-month,Fiber optic,4.31748811353631,No,2.0,Electronic check,72.3,0,False,759.0,0,0,91.0
female,58,South,14,Month-to-month,DSL,3.58351893845611,No,0.0,Bank transfer,75.5,0,False,539.0,1,0,302.0
male,25,East,20,One year,No,0.0,No,2.0,Credit card,88.58,1,False,489.0,0,0,172.0
female,67,West,59,Month-to-month,No,0.0,Yes,0.0,Credit card,70.43,0,False,445.0,1,0,325.0
male,79,West,18,Month-to-month,DSL,3.367295829986474,No,0.0,Bank transfer,75.71,0,True,821.0,0,0,83.0
female,79,South,16,Month-to-month,Fiber optic,4.343805421853684,Yes,1.0,Electronic check,62.7,1,False,591.0,0,0,215.0
female,24,West,2,Month-to-month,DSL,3.6888794541139363,Yes,1.0,Credit card,73.46,4,False,565.5,0,1,44.0
male,21,North,2,One year,Fiber optic,4.007333185232471,No,2.0,Credit card,108.94,0,False,772.0,0,0,49.0
male,23,North,5,Month-to-month,No,0.0,Yes,0.0,Electronic check,89.38,0,False,372.0,1,0,180.0
male,75,South,1,Month-to-month,DSL,1.6094379124341003,No,0.0,Bank transfer,91.04,0,False,538.0,1,0,70.0
male,39,South,28,One year,No,0.0,Yes,1.0,Bank transfer,91.69,1,False,715.0,0,0,267.0
male,43,East,26,Month-to-month,DSL,2.833213344056216,No,1.0,Mailed check,65.39,2,False,565.5,0,1,5.0
male,20,East,3,Month-to-month,Fiber optic,4.060443010546419,No,1.0,Mailed check,79.56,0,True,366.0,0,0,366.0
male,58,West,37,Two year,Fiber optic,3.9512437185814275,No,1.0,Bank transfer,37.44,0,False,376.0,1,0,342.0
male,77,East,4,Month-to-month,DSL,2.0794415416798357,No,3.0,Mailed check,108.06,0,False,547.0,0,0,27.0
female,31,East,8,Month-to-month,DSL,1.3862943611198906,No,2.0,Mailed check,20.0,0,True,367.0,0,0,249.0
