customer_id,gender,age,region,tenure_months,contract_type,internet_service,monthly_gb_download,streaming_package,tech_support_calls,payment_method,monthly_charges,total_charges,late_payments,account_manager,last_login_date,credit_score,churn_label
1,Male,63,South,2,One year,Fiber optic,18,Yes,0,Mailed check,96.01,192.03,1,0,2023-11-24,440,1
2,Female,32,East,39,Month-to-month,No,0,No,2,Credit card,74.78,2916.49,0,0,2023-02-27,677,0
3,Male,42,South,5,One year,Fiber optic,56,No,,Mailed check,72.74,363.69,1,0,2023-01-13,,1
4,Male,34,East,42,One year,No,0,Yes,1,Electronic check,66.59,2796.89,1,0,2023-05-21,637,0
5,Male,26,North,9,Month-to-month,DSL,14,Yes,0,Credit card,26.58,239.21,1,1,2023-05-06,749,0
6,Female,55,East,26,One year,No,0,Yes,1,Electronic check,128.14,3331.71,0,0,2023-04-25,460,0
7,Male,65,North,8,Two year,Fiber optic,39,Yes,2,,41.75,334.03,0,1,2023-03-13,404,0
8,Male,77,South,48,Month-to-month,DSL,10,No,0,Mailed check,29.2,1401.57,0,1,2023-02-22,391,0
9,Male,80,South,3,Month-to-month,Fiber optic,14,No,0,Bank transfer,63.61,190.84,2,0,2023-12-13,784,0
10,Female,19,North,4,Month-to-month,DSL,35,Yes,0,Electronic check,41.16,164.62,0,0,2023-10-07,718,0
11,Male,28,West,14,One year,Fiber optic,29,No,0,Credit card,68.45,958.28,0,0,2023-02-14,720,0
12,Male,81,South,2,Month-to-month,Fiber optic,41,No,1,Bank transfer,90.63,181.27,1,1,2023-10-30,353,0
13,Male,38,West,5,One year,DSL,5,No,1,Electronic check,99.86,748.95,0,1,2023-08-05,813,0
14,Male,35,West,58,Two year,Fiber optic,69,Yes,2,Electronic check,94.44,5477.63,1,0,2023-01-17,396,0
15,Female,81,East,76,Month-to-month,Fiber optic,52,No,3,Bank transfer,60.83,4623.16,0,0,2023-01-16,,0
16,Male,55,North,10,Two year,DSL,11,No,2,Mailed check,71.49,714.88,0,0,2023-02-17,732,0
17,Female,49,South,52,Two year,DSL,16,No,1,Bank transfer,82.24,4276.29,1,1,2023-04-22,770,0
18,Female,28,West,16,Month-to-month,Fiber optic,83,Yes,0,Mailed check,20,320,1,0,2023-04-30,,0
19,Female,62,South,7,Month-to-month,Fiber optic,48,No,1,Credit card,87.12,609.82,0,1,2023-09-16,633,0
20,Male,50,North,25,Two year,No,0,No,0,Mailed check,26.28,985.545,1,0,2023-11-05,563,0
21,Female,58,East,22,Two year,No,0,No,1,Credit card,131.21,2886.63,0,0,2023-01-14,490,0
22,Male,25,West,91,Month-to-month,Fiber optic,46,No,0,Credit card,57.86,5265.67,0,1,2023-10-15,520,0
23,Female,28,West,7,Month-to-month,Fiber optic,31,No,,Credit card,64.45,451.18,0,1,2023-04-12,498,1
24,Female,68,North,23,Month-to-month,Fiber optic,12,No,0,Credit card,46.91,1078.9,1,0,2023-11-29,643,0
25,Female,58,East,2,Two year,Fiber optic,46,No,0,Electronic check,51.1,102.2,1,0,2023-12-26,473,0
26,Female,34,South,3,Month-to-month,DSL,23,Yes,,Credit card,138.22,414.67,1,0,2023-10-07,516,1
27,Female,63,South,1,One year,DSL,30,Yes,0,Electronic check,98.21,98.21,1,0,2023-08-03,505,0
28,Female,49,West,151,Two year,Fiber optic,5,Yes,2,Electronic check,23.52,3552.11,0,0,2023-04-23,672,0
29,Female,71,South,33,Month-to-month,DSL,8,Yes,2,Credit card,115.13,3799.17,0,0,2023-08-18,473,0
30,Female,37,South,31,One year,Fiber optic,38,Yes,0,Mailed check,105.8,3279.72,1,0,2023-10-29,377,0
31,Male,50,North,15,Month-to-month,No,0,Yes,0,Mailed check,61.56,923.45,0,0,2023-05-23,622,0
32,Male,57,West,8,Two year,DSL,19,No,0,Bank transfer,79.2,633.61,1,0,2023-01-04,683,0
33,Female,49,West,4,Month-to-month,Fiber optic,47,Yes,2,Electronic check,69.55,278.21,0,0,2023-03-23,736,0
34,m,19,East,7,One year,No,0,Yes,,Electronic check,129.18,904.24,0,1,2023-12-24,498,1
35,Female,50,West,10,One year,Fiber optic,47,Yes,1,Mailed check,46.11,461.11,0,0,2023-08-05,306,0
36,Male,47,North,29,Month-to-month,DSL,24,Yes,1,Electronic check,74.38,2157.03,1,0,2023-06-24,562,0
37,Female,50,South,16,Month-to-month,DSL,10,No,0,Mailed check,57.16,914.49,0,0,2023-05-23,,0
38,Male,43,South,2,Month-to-month,Fiber optic,68,No,0,Bank transfer,27.01,54.02,2,0,2023-03-21,319,0
39,Male,39,North,1,Month-to-month,Fiber optic,58,No,0,Credit card,135.75,135.75,0,0,2023-04-21,553,1
40,Male,83,South,3,Two year,DSL,16,No,0,Credit card,34.55,103.66,0,0,2023-06-22,479,0
41,Male,55,West,11,Two year,DSL,36,Yes,1,Credit card,76.6,842.64,2,0,2023-02-22,652,0
42,Male,63,North,55,Month-to-month,No,0,No,1,,20,1100,0,1,2023-02-17,514,0
43,Female,32,South,21,One year,Fiber optic,81,Yes,0,Electronic check,58.03,1218.59,0,1,2023-07-14,657,0
44,Female,61,South,33,One year,No,0,No,2,Bank transfer,82.66,2727.75,0,0,2023-02-19,,0
45,Female,66,South,13,Two year,Fiber optic,68,Yes,0,Electronic check,45.26,588.35,0,1,2023-07-03,636,0
46,Female,78,West,9,Month-to-month,No,0,Yes,1,Electronic check,87.6,788.44,0,1,2023-06-26,618,0
47,Female,84,South,3,Month-to-month,DSL,10,No,0,Credit card,61.93,185.79,1,1,2023-11-06,765,0
48,Male,23,South,42,Month-to-month,Fiber optic,81,No,1,,104.8,4401.7,0,0,2023-05-16,453,0
49,Female,26,West,31,One year,DSL,27,No,0,Mailed check,110.85,3436.44,1,0,2023-01-23,650,0
50,Female,23,North,4,Month-to-month,Fiber optic,90,No,1,Credit card,52.4,209.59,1,0,2023-08-24,361,0
51,Male,49,South,15,Month-to-month,Fiber optic,74,No,2,Electronic check,72.3,1084.53,0,0,2023-10-02,759,0
52,Female,58,South,14,Month-to-month,DSL,35,No,,Bank transfer,75.5,1057.05,0,0,2023-03-05,539,1
53,Male,25,East,20,One year,No,0,No,2,Credit card,88.58,1771.61,1,0,2023-07-13,489,0
54,Female,67,West,59,Month-to-month,No,0,Yes,0,Credit card,70.43,4155.46,0,0,2023-02-10,445,1
55,Male,79,West,18,Month-to-month,DSL,28,No,0,Bank transfer,75.71,1362.71,0,1,2023-10-10,821,0
56,Female,79,South,16,Month-to-month,Fiber optic,76,Yes,1,Electronic check,62.7,1003.16,1,0,2023-05-31,591,0
57,Female,24,West,2,Month-to-month,DSL,39,Yes,1,Credit card,73.46,146.91,4,0,2023-11-18,,0
58,Male,21,North,2,One year,Fiber optic,54,No,2,Credit card,108.94,217.88,0,0,2023-11-13,772,0
59,Male,23,North,5,Month-to-month,No,0,Yes,,Electronic check,89.38,446.91,0,0,2023-07-05,372,1
60,Male,75,South,1,Month-to-month,DSL,4,No,,Bank transfer,91.04,91.04,0,0,2023-10-23,538,1
61,male,39,South,28,One year,No,0,Yes,1,Bank transfer,91.69,2567.38,1,0,2023-04-09,715,0
62,Male,43,East,26,Month-to-month,DSL,16,No,1,Mailed check,65.39,1700.03,2,0,2023-12-27,,0
63,Male,20,East,3,Month-to-month,Fiber optic,57,No,1,Mailed check,79.56,238.69,0,1,2023/13/01,366,0
64,Male,58,West,37,Two year,Fiber optic,51,No,1,Bank transfer,37.44,1385.46,0,0,2023-01-24,376,1
65,Male,77,East,4,Month-to-month,DSL,7,No,3,Mailed check,108.06,432.26,0,0,2023-12-05,547,0
66,Female,31,East,8,Month-to-month,DSL,3,No,2,Mailed check,20,240,0,1,2023-04-27,367,0
67,Female,29,North,6,Month-to-month,No,0,Yes,1,Electronic check,67.39,404.31,0,1,2023-05-29,398,0
68,Male,29,North,10,Month-to-month,Fiber optic,35,No,,Credit card,104.23,1042.27,0,0,2023-02-10,844,1
69,Female,30,East,6,One year,DSL,28,No,0,Mailed check,29.08,174.5,1,0,2023-04-30,841,0
70,Female,42,South,14,One year,Fiber optic,81,Yes,1,Mailed check,81.99,1147.91,0,0,2023-02-21,,1
71,Female,62,West,11,One year,DSL,29,No,1,Electronic check,49.58,545.35,1,1,2023-07-14,623,0
72,Female,36,North,87,Month-to-month,DSL,30,Yes,0,Bank transfer,58.94,5127.42,0,0,2023-05-23,422,0
73,male,72,North,2,Month-to-month,Fiber optic,48,No,0,Mailed check,98.38,196.76,3,0,2023-08-21,332,0
74,Female,62,South,4,Two year,DSL,2,Yes,2,Credit card,75.94,303.77,0,0,2023-11-22,444,0
75,Male,25,South,2,Two year,No,0,No,2,Mailed check,20,40,0,0,2023-07-06,816,0
76,Female,70,North,20,Month-to-month,Fiber optic,40,No,1,Credit card,40.71,814.14,1,0,2023-03-25,609,0
77,Female,72,East,2,Month-to-month,No,0,Yes,0,Bank transfer,99.26,198.52,0,0,2023-07-09,443,0
78,Female,49,North,37,Month-to-month,Fiber optic,44,Yes,0,Mailed check,83.47,3088.33,2,0,2023-07-01,,0
79,Male,68,East,15,Month-to-month,No,0,Yes,0,Credit card,122.44,1836.66,0,0,2023-04-18,494,1
80,Female,61,South,15,Month-to-month,Fiber optic,40,Yes,3,Credit card,120.48,1807.19,0,0,2023-12-10,782,0
81,Male,35,North,17,Month-to-month,Fiber optic,51,Yes,3,Credit card,59.73,1015.45,1,1,2023-05-17,774,0
82,Female,39,South,4,One year,No,0,No,0,Bank transfer,145.1,580.39,0,0,2023-12-26,468,0
83,Male,54,West,5,One year,Fiber optic,58,No,4,Credit card,70.73,353.67,0,1,2023-12-16,482,0
84,Female,73,South,8,Month-to-month,DSL,28,Yes,0,Electronic check,41.12,328.96,1,0,2023-11-28,412,1
85,Male,76,West,19,Month-to-month,Fiber optic,44,Yes,2,Bank transfer,50.99,968.83,1,0,2023-02-06,575,0
86,Male,20,North,5,Two year,No,0,Yes,1,Credit card,20,100,0,0,2023-11-08,775,0
87,Female,45,West,3,Month-to-month,Fiber optic,11,No,2,Bank transfer,118.21,354.63,1,1,2023-11-22,477,1
88,Male,52,South,71,One year,Fiber optic,40,No,0,Bank transfer,117.84,8366.84,1,0,2023-03-29,590,0
89,Female,78,East,1,Month-to-month,Fiber optic,50,Yes,0,Electronic check,39.53,39.53,0,0,2023-10-01,733,1
90,Female,71,East,33,One year,No,0,No,1,Credit card,63.16,2084.39,2,0,2023-05-06,762,0
91,Female,80,West,32,Month-to-month,DSL,32,Yes,0,Bank transfer,72.87,3497.67,0,0,2023-03-25,716,0
92,Female,24,South,8,Month-to-month,Fiber optic,38,No,1,Bank transfer,41.19,329.52,0,0,2023-08-25,437,0
93,Female,66,North,3,Month-to-month,DSL,25,Yes,0,Credit card,20,60,1,1,2023-07-14,788,0
94,Female,48,North,4,Month-to-month,Fiber optic,55,Yes,0,Electronic check,63.69,254.76,1,0,2023-05-19,467,1
95,Female,75,West,24,Month-to-month,Fiber optic,50,No,0,Mailed check,60.37,1448.82,2,0,2023-11-24,433,1
96,Female,78,East,21,One year,DSL,29,No,1,Credit card,58.35,1225.3,1,1,2023-12-19,460,0
97,Female,41,West,31,Month-to-month,DSL,13,Yes,1,Mailed check,76.68,2377.13,0,0,2023-10-13,676,0
98,Female,37,South,56,Month-to-month,Fiber optic,38,Yes,1,Credit card,112.89,6321.59,0,0,2023-04-23,629,0
99,Female,54,South,24,One year,DSL,19,No,2,Credit card,60.91,1461.77,0,0,2023-12-17,,0
100,Male,21,North,4,One year,DSL,13,Yes,2,Bank transfer,75.11,300.45,0,0,2023-06-16,471,0
101,Male,37,West,6,Two year,No,0,Yes,3,,91.81,550.84,0,0,2023-01-29,769,0
102,Female,77,East,37,One year,DSL,25,Yes,0,Electronic check,86.62,3205.1,0,0,2023-04-28,721,0
103,MALE,41,West,5,Month-to-month,Fiber optic,35,Yes,1,Electronic check,51.57,257.84,0,0,2023-01-17,555,0
104,Female,67,South,2,One year,No,0,Yes,2,Credit card,72.89,145.78,0,0,2023-06-11,419,0
105,Female,66,East,25,Two year,DSL,22,Yes,1,Bank transfer,86.43,3240.975,0,1,2023-07-25,318,0
106,Female,68,East,11,Two year,DSL,18,No,1,Bank transfer,36.15,397.64,1,0,2023-05-18,546,0
107,Female,53,South,51,Month-to-month,Fiber optic,54,No,2,Mailed check,107.91,5503.21,1,0,2023-02-03,504,0
108,Female,83,West,22,Month-to-month,Fiber optic,40,Yes,1,Credit card,112.95,2484.85,0,0,2023-04-19,719,0
109,Female,51,West,2,Month-to-month,No,0,Yes,2,Mailed check,48.32,96.63,1,0,2023-10-18,366,1
110,Male,53,West,60,One year,No,0,No,1,Bank transfer,75.81,4548.61,0,0,2023-06-11,641,0
111,Female,23,East,6,One year,Fiber optic,43,Yes,2,Electronic check,89.27,535.61,1,0,2023-04-19,644,0
112,Male,56,South,9,One year,DSL,20,No,1,Bank transfer,53.63,482.68,0,1,2023-12-02,686,0
113,Female,59,South,11,Month-to-month,DSL,22,No,0,Electronic check,84.45,928.93,1,1,2023-09-13,641,0
114,MALE,75,West,2,One year,DSL,19,Yes,1,Mailed check,74.9,149.8,0,0,2023-07-22,407,0
115,Male,29,North,14,Two year,DSL,37,Yes,1,Bank transfer,25.96,363.47,0,1,2023-11-26,,0
116,Female,20,East,3,Month-to-month,Fiber optic,30,Yes,1,Electronic check,83.77,251.32,0,1,2023-08-23,601,1
117,Male,35,East,11,One year,Fiber optic,48,No,4,Mailed check,37,406.95,0,0,2023-03-15,406,0
118,Female,57,East,9,Month-to-month,DSL,4,No,0,Bank transfer,98.18,883.58,0,0,2023-05-16,776,0
119,Female,38,West,30,Two year,No,0,Yes,2,Credit card,49.86,1495.91,2,1,2023-03-13,636,0
120,Male,32,South,33,Two year,DSL,23,Yes,0,Bank transfer,65.16,2150.33,0,0,2023-05-07,759,0
121,Female,43,South,4,One year,Fiber optic,27,Yes,3,Mailed check,111.17,444.67,0,1,2023-10-15,612,0
122,Male,25,North,10,One year,Fiber optic,44,No,1,Bank transfer,84.89,848.91,1,0,2023-10-03,453,0
123,Female,59,South,10,Two year,Fiber optic,42,Yes,,Mailed check,37.62,376.16,0,0,2023-05-15,648,1
124,Male,61,South,4,Month-to-month,Fiber optic,55,No,2,Electronic check,39.55,158.21,0,0,2023-10-27,828,0
125,Male,31,South,33,Month-to-month,DSL,14,Yes,1,Bank transfer,52.02,1716.69,0,1,2023-08-08,,0
126,Female,19,West,25,One year,Fiber optic,38,Yes,0,Mailed check,81.84,2045.98,1,0,2023-10-26,833,0
127,Female,54,West,5,Month-to-month,Fiber optic,78,No,0,Mailed check,80.75,403.74,1,0,2023-07-24,535,1
128,Male,55,North,10,Month-to-month,No,0,No,3,Credit card,44.71,447.07,1,0,2023-07-05,510,0
129,Female,58,South,3,Two year,Fiber optic,55,No,1,Electronic check,34.98,104.95,0,0,2023-04-23,585,0
130,Female,79,West,20,One year,Fiber optic,38,No,3,Credit card,78.45,1568.95,0,0,2023-03-12,722,0
131,Female,77,North,3,Month-to-month,Fiber optic,44,No,1,Credit card,64.54,193.63,0,0,2023-09-18,,1
